count,title
28809,40000
9,50952
9,46925
8,50943
8,41757
8,54720
8,48552
8,51639
8,49062
8,47460
8,43575
8,50109
8,53738
8,43632
8,47038
7,50895
7,48782
7,42858
7,42237
7,48147
7,46111
7,53303
7,42525
7,41411
7,52819
7,40954
7,40813
7,43426
7,43771
7,54805
7,50782
7,41604
7,47965
7,49481
7,50368
7,52035
7,47582
7,44296
7,50832
7,53078
7,48370
7,43916
7,40287
7,52210
7,45050
7,43944
7,52225
7,53925
7,55267
7,51570
7,40981
7,45181
7,44564
7,52122
7,50486
7,47175
7,45030
7,52341
7,45866
7,41262
7,45449
7,49232
7,54388
7,63670
7,41957
7,54972
7,54825
7,47626
7,60814
7,44504
7,59793
7,50032
6,58265
6,42693
6,51989
6,51267
6,56407
6,60021
6,46731
6,43840
6,42231
6,48271
6,69068
6,50927
6,57045
6,41663
6,66788
6,48524
6,42030
6,44848
6,54049
6,41925
6,44082
6,40789
6,46394
6,40343
6,48528
6,52534
6,55552
6,48957
6,48847
6,58611
6,46666
6,46172
6,53712
6,40847
6,40057
6,49535
6,57105
6,48118
6,46357
6,48994
6,45859
6,43478
6,43510
6,54764
6,62222
6,52251
6,46076
6,56341
6,42381
6,41450
6,51546
6,44861
6,45009
6,48966
6,52820
6,56332
6,40449
6,44397
6,51130
6,53007
6,50776
6,57741
6,59613
6,53754
6,43986
6,44529
6,52427
6,56582
6,50992
6,51218
6,55929
6,41285
6,45494
6,57532
6,48764
6,63360
6,43704
6,59226
6,42397
6,53583
6,51443
6,55627
6,49616
6,56038
6,47240
6,61148
6,52065
6,45207
6,44158
6,65175
6,42008
6,57280
6,42331
6,42088
6,51022
6,44813
6,56560
6,54626
6,47555
6,56682
6,50799
6,50718
6,41975
6,47936
6,52003
6,41107
6,47458
6,44330
6,44558
6,57809
6,60543
6,48645
6,52863
6,41656
6,65332
6,49163
6,66237
6,54340
6,40592
6,40913
6,40721
6,61243
6,43563
6,50040
6,57348
6,47903
6,51994
6,43918
6,50529
6,46459
6,42636
6,61619
6,53039
6,46933
6,54033
6,44356
6,47761
6,53125
6,63987
6,42133
6,48344
6,44197
6,46924
6,51643
6,63960
6,55678
6,47837
6,53869
6,40146
6,44569
6,48941
6,44027
6,51118
6,57834
6,50650
6,59900
6,47900
6,43199
6,50454
6,46858
6,58014
6,40777
6,46995
6,48289
6,48386
6,48823
6,51896
6,47424
6,40927
6,51255
6,51596
6,40935
6,53862
6,45445
6,54499
6,47819
6,49107
6,47335
6,55581
6,48265
6,49416
6,46674
6,40771
6,50999
6,49940
6,40648
6,56853
6,55299
6,62850
6,49888
6,53088
6,41603
6,48675
5,60353
5,41518
5,54630
5,60462
5,44191
5,58121
5,55080
5,47431
5,70661
5,52928
5,41377
5,47561
5,51336
5,53118
5,47946
5,52833
5,63813
5,49538
5,48412
5,49894
5,52474
5,67611
5,60530
5,50256
5,46302
5,50477
5,52323
5,47604
5,47024
5,60223
5,47456
5,52180
5,41797
5,62005
5,70490
5,51566
5,50402
5,49621
5,64722
5,53465
5,46713
5,69353
5,43804
5,56857
5,50840
5,42741
5,42552
5,46571
5,42145
5,61172
5,69568
5,53992
5,70724
5,47132
5,51514
5,42313
5,68964
5,46884
5,45566
5,44460
5,58778
